by5,count,ratio,temp,temp_feel,temp_min,temp_max,pressure,humidity,weekday,by15,hour,minute,minute15
2022-09-22 09:55:00,50,0.3105590062111801,27.72,27.98,26.69,29.07,1011,48,5,2022-09-22 09:55:00,9,55,55
2022-09-22 10:00:00,48,0.2981366459627329,28.08,29.34,26.7,28.93,1013,58,5,2022-09-22 09:55:00,10,0,55
2022-09-22 10:05:00,45,0.2795031055900621,28.08,29.34,26.7,28.93,1013,58,5,2022-09-22 09:55:00,10,5,55
2022-09-22 10:10:00,49,0.3043478260869565,28.08,29.34,26.7,28.93,1013,58,5,2022-09-22 10:10:00,10,10,10
2022-09-22 10:15:00,48,0.2981366459627329,28.08,29.13,26.7,28.93,1013,56,5,2022-09-22 10:10:00,10,15,10
2022-09-22 10:20:00,53,0.3291925465838509,28.08,29.13,26.7,28.93,1013,56,5,2022-09-22 10:10:00,10,20,10
2022-09-22 10:25:00,53,0.3291925465838509,28.08,29.13,26.7,28.93,1013,56,5,2022-09-22 10:25:00,10,25,25
2022-09-22 10:30:00,60,0.3726708074534161,28.59,29.59,27.25,29.93,1013,54,5,2022-09-22 10:25:00,10,30,25
2022-09-22 10:35:00,63,0.39130434782608703,28.59,29.59,27.25,29.93,1013,54,5,2022-09-22 10:25:00,10,35,25
2022-09-22 10:45:00,68,0.42236024844720493,28.59,29.59,27.25,29.93,1012,54,5,2022-09-22 10:40:00,10,45,40
2022-09-22 10:50:00,69,0.42857142857142855,28.59,29.59,27.25,29.93,1012,54,5,2022-09-22 10:40:00,10,50,40
2022-09-22 10:55:00,72,0.4472049689440994,28.4,28.44,27.25,30.07,1012,45,5,2022-09-22 10:55:00,10,55,55
2022-09-22 11:00:00,72,0.4472049689440994,28.4,28.44,27.25,30.07,1012,45,5,2022-09-22 10:55:00,11,0,55
2022-09-22 11:05:00,72,0.4472049689440994,28.4,28.44,27.25,30.07,1012,45,5,2022-09-22 10:55:00,11,5,55
2022-09-22 11:10:00,65,0.40372670807453415,29.01,30.05,27.53,30.07,1012,53,5,2022-09-22 11:10:00,11,10,10
